"","sub","item","cond","seq","word","word_line","wordID","line","FFD","SFD","GD","TVT","nfix1","nfix2","nfixAll","regress","skip_1st","skip_total","deg","prev","N1","N"
"3",1,1,1,134,8,8,"hurt",1,82,82,82,82,1,0,1,0,0,0,"0","valid",1,0
"10",1,2,2,17,6,6,"type",1,147,147,147,448,1,1,2,1,0,0,"0","orth",1,0
"20",1,3,3,10,5,5,"dirt",1,185,185,185,185,1,0,1,0,0,0,"0","mask",1,0
"30",1,4,4,54,8,8,"purse",1,124,124,124,124,1,0,1,0,0,0,"20","valid",1,0
"40",1,5,5,101,9,9,"stern",1,187,NA,365,640,2,1,3,1,0,0,"20","orth",1,0
"49",1,6,6,121,8,8,"merge",1,230,230,230,230,1,0,1,0,0,0,"20","mask",1,0
"59",1,7,1,8,8,8,"surge",1,314,NA,735,1324,2,3,5,1,0,0,"0","valid",1,0
"68",1,8,2,133,12,12,"church",1,273,273,273,273,1,0,1,0,0,0,"0","orth",1,0
"77",1,9,3,95,14,14,"burp",1,116,116,116,116,1,0,1,0,0,0,"0","mask",1,0
"85",1,10,4,127,11,11,"noun",1,243,243,243,243,1,0,1,0,0,0,"20","valid",1,0
"94",1,11,5,31,5,5,"skirt",1,408,408,408,753,1,2,3,1,0,0,"20","orth",1,0
"105",1,12,6,135,11,11,"serve",1,256,256,256,586,1,1,2,1,0,0,"20","mask",1,0
"111",1,13,1,75,5,5,"worst",1,327,327,327,874,1,2,3,1,0,0,"0","valid",1,0
"121",1,14,2,71,8,8,"purge",1,286,286,286,286,1,0,1,0,0,0,"0","orth",1,0
"135",1,16,4,5,11,11,"twirl",1,209,NA,381,381,2,0,2,0,0,0,"20","valid",1,0
"142",1,17,5,52,6,6,"plea",1,362,362,362,362,1,0,1,0,0,0,"20","orth",1,0
"153",1,18,6,111,6,6,"sleeve",1,212,212,212,297,1,1,2,1,0,0,"20","mask",1,0
"160",1,19,1,62,6,6,"sweep",1,291,291,291,291,1,0,1,0,0,0,"0","valid",1,0
"167",1,20,2,84,10,10,"jerk",1,283,283,283,283,1,0,1,0,0,0,"0","orth",1,0
"187",1,23,5,24,5,5,"beef",1,205,205,205,205,1,0,1,0,0,0,"20","orth",1,0
"197",1,24,6,104,6,6,"burst",1,248,248,248,248,1,0,1,0,0,0,"20","mask",1,0
"202",1,25,1,25,5,5,"bleak",1,245,245,245,245,1,0,1,0,0,0,"0","valid",1,0
"211",1,26,2,13,5,5,"sleek",1,322,322,322,322,1,0,1,0,0,0,"0","orth",1,0
"222",1,27,3,106,5,5,"steep",1,NA,NA,NA,303,0,1,1,1,1,0,"0","mask",1,0
"230",1,28,4,67,5,5,"veal",1,564,564,564,564,1,0,1,0,0,0,"20","valid",1,0
"240",1,29,5,105,8,8,"cleave",1,252,252,252,403,1,1,2,1,0,0,"20","orth",1,0
"252",1,31,1,120,6,6,"shrew",1,296,296,296,296,1,0,1,0,0,0,"0","valid",1,0
"262",1,32,2,34,7,7,"slur",1,NA,NA,NA,242,0,1,1,1,1,0,"0","orth",1,0
"272",1,33,3,61,9,9,"bush",1,161,161,161,161,1,0,1,0,0,0,"0","mask",1,0
"287",1,35,5,86,8,8,"part",1,280,280,280,485,1,1,2,1,0,0,"20","orth",1,0
"294",1,36,6,60,7,7,"lisp",1,381,381,381,381,1,0,1,0,0,0,"20","mask",1,0
"308",1,37,1,51,11,11,"herd",1,NA,NA,NA,216,0,1,1,1,1,0,"0","valid",1,0
"322",1,39,3,70,8,8,"talc",1,211,211,211,812,1,3,4,1,0,0,"0","mask",1,0
"335",1,40,4,45,10,10,"team",1,251,251,251,719,1,2,3,1,0,0,"20","valid",1,0
"347",1,41,5,65,6,6,"step",1,199,199,199,199,1,0,1,0,0,0,"20","orth",1,0
"358",1,42,6,39,8,8,"blunt",1,250,250,250,1076,1,2,3,1,0,0,"20","mask",1,0
"365",1,43,1,90,4,4,"chain",1,249,249,249,559,1,1,2,1,0,0,"0","valid",1,0
"371",1,44,2,19,7,7,"death",1,147,NA,320,664,2,1,3,1,0,0,"0","orth",1,0
"380",1,45,3,3,8,8,"draft",1,616,616,616,616,1,0,1,0,0,0,"0","mask",1,0
"397",1,47,5,16,7,7,"ghost",1,161,161,161,161,1,0,1,0,0,0,"20","orth",1,0
"416",1,50,2,123,8,8,"clone",1,153,153,153,153,1,0,1,0,0,0,"0","orth",1,0
"432",1,52,4,4,6,6,"crack",1,260,260,260,260,1,0,1,0,0,0,"20","valid",1,0
"440",1,53,5,28,6,6,"flask",1,NA,NA,NA,164,0,1,1,1,1,0,"20","orth",1,0
"450",1,54,6,14,10,10,"cruise",1,144,144,144,363,1,1,2,1,0,0,"20","mask",1,0
"459",1,55,1,87,9,9,"flirt",1,257,NA,587,587,2,0,2,0,0,0,"0","valid",1,0
"467",1,56,2,96,8,8,"mirth",1,311,311,311,984,1,2,3,1,0,0,"0","orth",1,0
"475",1,57,3,102,7,7,"swerve",1,270,270,270,270,1,0,1,0,0,0,"0","mask",1,0
"484",1,58,4,21,7,7,"swirl",1,252,252,252,452,1,1,2,1,0,0,"20","valid",1,0
"491",1,59,5,18,6,6,"smirk",1,86,86,86,86,1,0,1,0,0,0,"20","orth",1,0
"521",1,62,2,7,9,9,"third",1,208,208,208,512,1,1,2,1,0,0,"0","orth",1,0
"525",1,63,3,132,8,8,"heave",1,275,275,275,275,1,0,1,0,0,0,"0","mask",1,0
"538",1,65,5,63,8,8,"teeth",1,193,NA,374,374,2,0,2,0,0,0,"20","orth",1,0
"546",1,66,6,36,7,7,"hurl",1,264,264,264,264,1,0,1,0,0,0,"20","mask",1,0
"553",1,67,1,78,7,7,"glee",1,285,285,285,285,1,0,1,0,0,0,"0","valid",1,0
"571",1,69,3,30,8,8,"tweed",1,NA,NA,NA,956,0,3,3,1,1,0,"0","mask",1,0
"587",1,71,5,46,7,7,"nerve",1,NA,NA,NA,438,0,1,1,1,1,0,"20","orth",1,0
"592",1,72,6,124,5,5,"youth",1,186,186,186,186,1,0,1,0,0,0,"20","mask",1,0
"601",1,73,1,93,7,7,"sleet",1,339,339,339,339,1,0,1,0,0,0,"0","valid",1,0
"607",1,74,2,113,6,6,"coil",1,NA,NA,NA,138,0,1,1,1,1,0,"0","orth",1,0
"617",1,75,3,98,4,4,"dean",1,183,183,183,570,1,2,3,1,0,0,"0","mask",1,0
"626",1,76,4,47,7,7,"glean",1,309,309,309,309,1,0,1,0,0,0,"20","valid",1,0
"634",1,77,5,125,7,7,"tech",1,167,167,167,167,1,0,1,0,0,0,"20","orth",1,0
"644",1,78,6,107,8,8,"thirst",1,229,229,229,229,1,0,1,0,0,0,"20","mask",1,0
"651",1,79,1,109,10,10,"clean",1,218,218,218,218,1,0,1,0,0,0,"0","valid",1,0
